46,133,97,110
46,134,97,111
46,135,97,112
46,132,97,109
47,133,97,112
49,133,96,106
49,130,98,110
52,128,103,105
52,129,102,107
54,127,104,104
54,128,104,105
55,127,104,104
48,136,98,113
49,134,99,111
49,135,99,112
49,136,99,113
54,128,105,105
55,127,106,104
58,126,104,104
58,127,104,105
55,127,107,107
55,128,106,105
52,132,102,108
52,133,102,109
52,134,102,110
51,134,101,110
51,135,101,111
52,136,103,113
73,134,117,111
75,136,118,112
76,136,119,112
76,137,119,113
77,136,120,112
77,137,120,113
69,142,115,114
74,134,118,111
76,136,120,112
76,137,120,113
79,137,128,113
77,137,127,113
81,137,130,113
81,138,130,114
47,143,98,114
48,144,94,110
49,144,95,110
50,148,98,114
51,148,95,111
51,150,94,112
52,150,95,112
48,143,99,114
49,145,99,115
49,146,99,116
50,145,100,115
50,146,100,116
51,142,101,113
55,148,103,115
56,147,104,114
55,148,103,116
56,148,104,116
50,149,99,116
51,149,100,116
52,148,100,115
52,150,99,114
51,148,100,116
52,148,101,116
54,157,100,122
54,158,100,123
54,155,104,121
58,152,105,119
54,155,103,121
54,158,104,124
47,142,98,113
48,139,94,112
48,140,94,113
49,139,95,112
48,144,98,114
49,144,99,114
52,142,102,113
52,143,102,114
50,148,99,115
50,149,98,113
51,148,99,114
52,150,99,113
53,146,101,113
54,146,102,113
54,147,102,114
57,148,105,117
55,145,103,112
55,146,103,113
55,144,103,113
55,143,103,112
58,150,106,119
62,152,109,120
63,152,110,120
64,152,111,120
58,152,102,121
59,152,104,121
60,156,105,118
59,157,102,121
59,158,103,121
61,152,107,120
62,152,108,120
60,157,107,122
62,159,103,121
68,144,114,114
67,148,113,118
65,151,111,120
67,149,112,119
67,148,112,118
68,148,113,118
68,149,113,119
69,148,114,118
69,151,114,121
70,151,115,121
63,152,108,121
67,150,112,120
68,151,113,121
70,152,115,122
70,165,114,128
69,164,114,128
66,166,109,129
69,144,114,115
69,146,114,116
70,146,115,116
70,147,115,117
70,148,115,118
71,152,116,122
71,153,116,123
72,153,117,124
80,136,126,112
74,156,116,124
74,157,116,124
73,154,115,121
74,156,115,122
75,156,116,122
74,156,116,123
